Fecha Factura,Descripcion,Factura,PO,Fecha Vencimiento,Dias Vencidos,Total,Balance,Balance Vencido
22 noviembre 2024,Factura,8255,22454,22 diciembre 2024,50,103093.16,103093.16,103093.16
26 diciembre 2024,Factura,8903,22809,25 enero 2025,16,1085363.96,1188457.12,1188457.12
26 diciembre 2024,Factura,8894,22828,25 enero 2025,16,1100281.23,2288738.35,2288738.35
02 enero 2025,Factura,9020,23044,01 febrero 2025,9,982438.22,3271176.57,3271176.57
03 enero 2025,Factura,9034,23045,02 febrero 2025,8,1049487.52,4320664.09,4320664.09
13 enero 2025,Factura,9170,23213,12 febrero 2025,-2,890240.54,5210904.63
13 enero 2025,Factura,9168,23143,12 febrero 2025,-2,884645.56,6095550.19
31 enero 2025,Factura,9479,23258,02 marzo 2025,-20,785823.14,6881373.33
31 enero 2025,Factura,9480,23086,02 marzo 2025,-20,81343.55,6962716.88
01 febrero 2025,Factura,9500,23490,03 marzo 2025,-21,818987.57,7781704.45
04 febrero 2025,Factura,9546,23504,06 marzo 2025,-24,784167.97,8565872.42
04 febrero 2025,Factura,9556,23503,06 marzo 2025,-24,843612.08,9409484.50
07 febrero 2025,Factura,9603,23483,09 marzo 2025,-27,813956.09,10223440.59
10 febrero 2025,Factura,9641,23218,12 marzo 2025,-30,1282785.11,11506225.70
10 febrero 2025,Factura,9644,23617,12 marzo 2025,-30,805656.40,12311882.10
