Fecha Factura,Descripcion,Factura,PO,Fecha Vencimiento,Dias Vencidos,Total,Balance,Balance Vencido
Diciembre 09 2024,Factura,8626,22532,Enero 08 2025,28,994428.80,994428.80,994428.80
Diciembre 19 2024,Factura,8821,22396,Enero 18 2025,18,1055265.14,2049693.94,2049693.94
Diciembre 21 2024,Factura,8841,22265,Enero 20 2025,16,1035700.24,3085394.18,3085394.18
Enero 24 2025,Pago,,,,,(900000.00),2185394.18,2185394.18
Diciembre 23 2024,Factura,8863,22365,Enero 22 2025,14,1071303.92,3256698.10,3256698.10
Enero 30 2025,Pago,,,,,(1040000.00),2216698.10,2216698.10
Diciembre 23 2024,Factura,8864,22268,Enero 22 2025,14,1075803.91,3292502.01,3292502.01
Diciembre 27 2024,Factura,8942,22874,Enero 26 2025,10,1045764.38,4338266.39,4338266.39
Enero 03 2025,Factura,9039,23027,Febrero 02 2025,3,969280.02,5307546.41,5307546.41
Enero 07 2025,Factura,9072,23128,Febrero 06 2025,-1,922698.31,6230244.72
Enero 13 2025,Factura,9163,22284,Febrero 12 2025,-7,803837.88,7034082.60
Enero 13 2025,Factura,9181,22289,Febrero 12 2025,-7,838261.59,7872344.19
Enero 17 2025,Factura,9248,23265,Febrero 16 2025,-11,842873.02,8715217.21
Enero 20 2025,Factura,9270,22941,Febrero 19 2025,-14,876694.68,9591911.89
Enero 27 2025,Factura,9370,23268,Febrero 26 2025,-21,848372.75,10440284.64
Enero 28 2025,Factura,9402,22306,Febrero 27 2025,-22,830983.11,11271267.75
Febrero 03 2025,Factura,9510,23427,Marzo 05 2025,-28,854386.78,12125654.53
