Fecha Factura,Descripcion,Factura,PO,Fecha Vencimiento,Dias Vencidos,Total,Balance,Balance Vencido
27 diciembre 2024,Factura,8945,20387,26 enero 2025,15,1741500.00,1741500.00,1741500.00
07 febrero 2025,Pago,,,,,(169295.55),1572204.45,1572204.45
02 enero 2025,Factura,9022,22426,01 febrero 2025,9,974593.12,2546797.57,2546797.57
02 enero 2025,Nota Credito,,,,,(20977.63),2525819.94,2525819.94
07 enero 2025,Factura,9085,22368,06 febrero 2025,4,852154.58,3377974.52,3377974.52
09 enero 2025,Factura,9114,23107,08 febrero 2025,2,828252.29,4206226.81,4206226.81
16 enero 2025,Factura,9225,22930,15 febrero 2025,-5,875445.20,5081672.01
17 enero 2025,Factura,9246,23230,16 febrero 2025,-6,713107.36,5794779.37
20 enero 2025,Factura,9263,22294,19 febrero 2025,-9,854300.73,6649080.10
24 enero 2025,Factura,9362,23277,23 febrero 2025,-13,836218.90,7485299.00
28 enero 2025,Factura,9416,23441,27 febrero 2025,-17,806168.46,8291467.46
04 febrero 2025,Factura,9548,22314,06 marzo 2025,-24,801124.92,9092592.38
04 febrero 2025,Factura,9549,23558,06 marzo 2025,-24,818428.74,9911021.12
