Fecha Factura,Descripcion,Factura,PO,Fecha Vencimiento,Dias Vencidos,Total,Balance,Balance Vencido
Noviembre 28 2024,Factura,8348,22347,Diciembre 28 2024,39,44165.00,44165.00,44165.00
Diciembre 05 2024,Factura,8524,22507,Enero 04 2025,32,44104.36,88269.36,88269.36
Diciembre 05 2024,Factura,8523,22508,Enero 04 2025,32,43636.65,131906.01,131906.01
Diciembre 10 2024,Factura,8652,22658,Enero 09 2025,27,46467.85,178373.86,178373.86
Diciembre 10 2024,Factura,8653,22657,Enero 09 2025,27,46302.02,224675.88,224675.88
Diciembre 17 2024,Factura,8772,22263,Enero 16 2025,20,49438.15,274114.03,274114.03
Diciembre 17 2024,Factura,8771,22262,Enero 16 2025,20,49302.17,323416.20,323416.20
Diciembre 24 2024,Factura,8886,22408,Enero 23 2025,13,50919.47,374335.67,374335.67
Diciembre 26 2024,Factura,8899,22411,Enero 25 2025,11,50966.40,425302.07,425302.07
Diciembre 31 2024,Factura,8990,23029,Enero 30 2025,6,44479.46,469781.53,469781.53
Diciembre 31 2024,Factura,8991,23030,Enero 30 2025,6,48289.31,518070.84,518070.84
Enero 08 2025,Factura,9098,23136,Febrero 07 2025,-2,40725.50,558796.34
Enero 08 2025,Factura,9099,23137,Febrero 07 2025,-2,40622.17,599418.51
Enero 14 2025,Factura,9195,22932,Febrero 13 2025,-8,40115.26,639533.77
Enero 14 2025,Factura,9196,22933,Febrero 13 2025,-8,40359.02,679892.79
Enero 21 2025,Factura,9297,22943,Febrero 20 2025,-15,40636.87,720529.66
Enero 21 2025,Factura,9298,23311,Febrero 20 2025,-15,40020.01,760549.67
Enero 28 2025,Factura,9419,23453,Febrero 27 2025,-22,39028.94,799578.61
Enero 29 2025,Factura,9430,23455,Febrero 28 2025,-23,37911.73,837490.34
Febrero 05 2025,Factura,9577,23540,Marzo 07 2025,-30,37397.92,874888.26
Febrero 05 2025,Factura,9575,23500,Marzo 07 2025,-30,36971.06,911859.32
