Fecha Factura,Descripcion,Factura,PO,Fecha Vencimiento,Dias Vencidos,Total,Balance,Balance Vencido
16 enero 2025,Factura,9224,22938,15 febrero 2025,-5,888730.47,888730.47
01 febrero 2025,Pago,,,,,(111124.41),777606.06
07 febrero 2025,Pago,,,,,(240000.00),537606.06
17 enero 2025,Factura,9242,23276,16 febrero 2025,-6,864977.97,1402584.03
17 enero 2025,Factura,9243,22935,16 febrero 2025,-6,883145.78,2285729.81
23 enero 2025,Factura,9345,22945,22 febrero 2025,-12,861309.30,3147039.11
24 enero 2025,Factura,9365,22910,23 febrero 2025,-13,853828.36,4000867.47
24 enero 2025,Factura,9364,23270,23 febrero 2025,-13,827986.93,4828854.40
28 enero 2025,Factura,9405,22911,27 febrero 2025,-17,842683.48,5671537.88
31 enero 2025,Factura,9463,22964,02 marzo 2025,-20,838352.35,6509890.23
03 febrero 2025,Factura,9530,22969,05 marzo 2025,-23,819148.59,7329038.82
03 febrero 2025,Factura,9516,23428,05 marzo 2025,-23,859870.27,8188909.09
03 febrero 2025,Factura,9517,23438,05 marzo 2025,-23,840243.13,9029152.22
07 febrero 2025,Factura,9605,22917,09 marzo 2025,-27,830623.24,9859775.46
07 febrero 2025,Factura,9604,22979,09 marzo 2025,-27,859173.24,10718948.70
10 febrero 2025,Factura,9645,23361,12 marzo 2025,-30,819570.99,11538519.69
