Fecha Factura,Descripcion,Factura,PO,Fecha Vencimiento,Dias Vencidos,Total,Balance,Balance Vencido
26 diciembre 2024,Factura,8917,22875,25 enero 2025,16,52151.66,52151.66,52151.66
26 diciembre 2024,Factura,8924,22862,25 enero 2025,16,51365.95,103517.61,103517.61
26 diciembre 2024,Factura,8908,22876,25 enero 2025,16,53954.22,157471.83,157471.83
05 febrero 2025,Pago,,,,,(27812.99),129658.84,129658.84
02 enero 2025,Factura,9025,22417,01 febrero 2025,9,50808.70,180467.54,180467.54
02 enero 2025,Factura,9024,23036,01 febrero 2025,9,51649.58,232117.12,232117.12
06 enero 2025,Factura,9060,23050,05 febrero 2025,5,50110.59,282227.71,282227.71
09 enero 2025,Factura,9128,23140,08 febrero 2025,2,41888.44,324116.15,324116.15
09 enero 2025,Factura,9127,23126,08 febrero 2025,2,39981.81,364097.96,364097.96
16 enero 2025,Factura,9213,23232,15 febrero 2025,-5,39181.75,403279.71
20 enero 2025,Factura,9280,23231,19 febrero 2025,-9,41332.24,444611.95
23 enero 2025,Factura,9339,22299,22 febrero 2025,-12,40804.93,485416.88
23 enero 2025,Factura,9347,23318,22 febrero 2025,-12,40750.60,526167.48
29 enero 2025,Factura,9424,22957,28 febrero 2025,-18,42423.27,568590.75
03 febrero 2025,Factura,9512,23488,05 marzo 2025,-23,42126.84,610717.59
07 febrero 2025,Factura,9600,23566,09 marzo 2025,-27,40923.74,651641.33
