Fecha Factura,Descripcion,Factura,PO,Fecha Vencimiento,Dias Vencidos,Total,Balance,Balance Vencido
14 septiembre 2023,Factura,1422,15325,14 octubre 2023,485,47096.31,47096.31,47096.31
15 noviembre 2024,Pago,,,,,(891.74),46204.57,46204.57
22 noviembre 2024,Pago,,,,,(3000.00),43204.57,43204.57
29 noviembre 2024,Pago,,,,,(3000.00),40204.57,40204.57
06 diciembre 2024,Pago,,,,,(3000.00),37204.57,37204.57
13 diciembre 2024,Pago,,,,,(3000.00),34204.57,34204.57
20 diciembre 2024,Pago,,,,,(3000.00),31204.57,31204.57
27 diciembre 2024,Pago,,,,,(3000.00),28204.57,28204.57
03 enero 2025,Pago,,,,,(3000.00),25204.57,25204.57
17 enero 2025,Pago,,,,,(3000.00),22204.57,22204.57
24 enero 2025,Pago,,,,,(2000.00),20204.57,20204.57
31 enero 2025,Pago,,,,,(3000.00),17204.57,17204.57
21 septiembre 2023,Factura,1495,15249,21 octubre 2023,478,45288.18,62492.75,62492.75
