Fecha Factura,Descripcion,Factura,PO,Fecha Vencimiento,Dias Vencidos,Total,Balance,Balance Vencido
13 enero 2025,Factura,9180,23333,12 febrero 2025,-2,819948.61,819948.61
15 enero 2025,Factura,9212,23190,14 febrero 2025,-4,803058.18,1623006.79
17 enero 2025,Factura,9256,23234,16 febrero 2025,-6,832500.87,2455507.66
20 enero 2025,Factura,9281,23243,19 febrero 2025,-9,842089.33,3297596.99
22 enero 2025,Factura,9323,23246,21 febrero 2025,-11,835750.74,4133347.73
24 enero 2025,Factura,9361,23308,23 febrero 2025,-13,858920.50,4992268.23
27 enero 2025,Factura,9380,22952,26 febrero 2025,-16,861633.23,5853901.46
29 enero 2025,Factura,9440,22307,28 febrero 2025,-18,813263.32,6667164.78
31 enero 2025,Factura,9489,23420,02 marzo 2025,-20,859540.50,7526705.28
04 febrero 2025,Factura,9541,23568,06 marzo 2025,-24,772282.36,8298987.64
04 febrero 2025,Factura,9540,23567,06 marzo 2025,-24,798447.19,9097434.83
07 febrero 2025,Factura,9601,23565,09 marzo 2025,-27,862056.32,9959491.15
10 febrero 2025,Factura,9647,23614,12 marzo 2025,-30,805958.46,10765449.61
