Fecha Factura,Descripcion,Factura,PO,Fecha Vencimiento,Dias Vencidos,Total,Balance,Balance Vencido
18 diciembre 2024,Factura,8789,20976,01 febrero 2025,9,2065500.00,2065500.00,2065500.00
04 enero 2025,Factura,9044,23123,18 febrero 2025,-8,925423.77,2990923.77
04 enero 2025,Factura,9043,23124,18 febrero 2025,-8,920112.71,3911036.48
11 enero 2025,Factura,9160,23191,25 febrero 2025,-15,797388.40,4708424.88
11 enero 2025,Factura,9161,23189,25 febrero 2025,-15,778355.51,5486780.39
17 enero 2025,Factura,9245,23041,03 marzo 2025,-21,1074199.33,6560979.72
18 enero 2025,Factura,9259,23247,04 marzo 2025,-22,832477.40,7393457.12
18 enero 2025,Factura,9260,23339,04 marzo 2025,-22,887561.64,8281018.76
01 febrero 2025,Factura,9504,23497,18 marzo 2025,-36,829063.14,9110081.90
05 febrero 2025,Factura,9576,22971,22 marzo 2025,-40,790285.24,9900367.14
08 febrero 2025,Factura,9619,23664,25 marzo 2025,-43,841947.02,10742314.16
08 febrero 2025,Factura,9618,23636,25 marzo 2025,-43,848364.24,11590678.40
