Fecha Factura,Descripcion,Factura,PO,Fecha Vencimiento,Dias Vencidos,Total,Balance,Balance Vencido
26 diciembre 2024,Factura,8910,22827,25 enero 2025,16,1118952.79,1118952.79,1118952.79
30 diciembre 2024,Factura,8949,22757,29 enero 2025,12,1076456.41,2195409.20,2195409.20
02 enero 2025,Factura,9017,22423,01 febrero 2025,9,1060636.85,3256046.05,3256046.05
06 enero 2025,Factura,9061,23049,05 febrero 2025,5,931499.59,4187545.64,4187545.64
07 enero 2025,Factura,9092,23121,06 febrero 2025,4,871717.31,5059262.95,5059262.95
09 enero 2025,Factura,9137,22920,08 febrero 2025,2,983320.33,6042583.28,6042583.28
20 enero 2025,Factura,9289,22942,19 febrero 2025,-9,869810.85,6912394.13
27 enero 2025,Factura,9383,23252,26 febrero 2025,-16,837679.85,7750073.98
01 febrero 2025,Factura,9503,23550,03 marzo 2025,-21,814337.29,8564411.27
03 febrero 2025,Factura,9524,23421,05 marzo 2025,-23,798986.44,9363397.71
