Fecha Factura,Descripcion,Factura,PO,Fecha Vencimiento,Dias Vencidos,Total,Balance,Balance Vencido
14 enero 2025,Factura,9198,23332,13 febrero 2025,-3,855390.09,855390.09
09 febrero 2025,Pago,,,,,(69795.88),785594.21
16 enero 2025,Factura,9228,23273,15 febrero 2025,-5,895239.95,1680834.16
20 enero 2025,Factura,9290,22296,19 febrero 2025,-9,846344.92,2527179.08
23 enero 2025,Factura,9342,23316,22 febrero 2025,-12,815793.34,3342972.42
28 enero 2025,Factura,9395,23444,27 febrero 2025,-17,821302.73,4164275.15
29 enero 2025,Factura,9439,23452,28 febrero 2025,-18,844068.49,5008343.64
30 enero 2025,Factura,9456,23459,01 marzo 2025,-19,419252.86,5427596.50
03 febrero 2025,Factura,9529,23553,05 marzo 2025,-23,822861.15,6250457.65
07 febrero 2025,Factura,9591,22976,09 marzo 2025,-27,824911.09,7075368.74
