Fecha Factura,Descripcion,Factura,PO,Fecha Vencimiento,Dias Vencidos,Total,Balance,Balance Vencido
08 enero 2024,Factura,3067,17042,08 enero 2024,399,852498.18,852498.18,852498.18
31 mayo 2024,Pago,,,,,(23000.00),829498.18,829498.18
01 junio 2024,Pago,,,,,(5000.00),824498.18,824498.18
14 junio 2024,Pago,,,,,(25000.00),799498.18,799498.18
18 junio 2024,Pago,,,,,(25000.00),774498.18,774498.18
28 junio 2024,Pago,,,,,(25000.00),749498.18,749498.18
07 julio 2024,Pago,,,,,(25000.00),724498.18,724498.18
24 agosto 2024,Pago,,,,,(25000.00),699498.18,699498.18
02 septiembre 2024,Pago,,,,,(25000.00),674498.18,674498.18
21 septiembre 2024,Pago,,,,,(25000.00),649498.18,649498.18
02 octubre 2024,Pago,,,,,(25000.00),624498.18,624498.18
21 octubre 2024,Pago,,,,,(15000.00),609498.18,609498.18
08 noviembre 2024,Pago,,,,,(25000.00),584498.18,584498.18
03 diciembre 2024,Pago,,,,,(25000.00),559498.18,559498.18
