Fecha Factura,Descripcion,Factura,PO,Fecha Vencimiento,Dias Vencidos,Total,Balance,Balance Vencido
Enero 21 2025,Factura,9294,22894,Febrero 05 2025,0,54747.36,54747.36
Enero 22 2025,Factura,9325,23301,Febrero 06 2025,-1,841295.47,896042.83
Enero 22 2025,Factura,9319,23309,Febrero 06 2025,-1,871947.52,1767990.35
Enero 23 2025,Factura,9338,23302,Febrero 07 2025,-2,814335.21,2582325.56
Enero 27 2025,Factura,9384,23217,Febrero 11 2025,-6,1274154.06,3856479.62
Enero 28 2025,Factura,9418,22958,Febrero 12 2025,-7,872338.07,4728817.69
Enero 29 2025,Factura,9433,22959,Febrero 13 2025,-8,875260.82,5604078.51
Enero 30 2025,Factura,9445,22894,Febrero 14 2025,-9,250125.96,5854204.47
Febrero 03 2025,Factura,9508,23460,Febrero 18 2025,-13,823514.61,6677719.08
Febrero 03 2025,Factura,9509,23461,Febrero 18 2025,-13,813641.48,7491360.56
Febrero 03 2025,Factura,9533,23571,Febrero 18 2025,-13,798169.15,8289529.71
Febrero 03 2025,Factura,9536,23435,Febrero 18 2025,-13,827222.17,9116751.88
Febrero 03 2025,Factura,9531,22967,Febrero 18 2025,-13,828914.68,9945666.56
Febrero 04 2025,Factura,9553,23549,Febrero 19 2025,-14,793079.47,10738746.03
