Fecha Factura,Descripcion,Factura,PO,Fecha Vencimiento,Dias Vencidos,Total,Balance,Balance Vencido
Enero 06 2025,Factura,9058,22429,Febrero 05 2025,0,908121.41,908121.41
Enero 09 2025,Factura,9144,22926,Febrero 08 2025,-3,827065.03,1735186.44
Enero 10 2025,Factura,9157,22902,Febrero 09 2025,-4,877425.67,2612612.11
Enero 13 2025,Factura,9182,22925,Febrero 12 2025,-7,839964.36,3452576.47
Enero 15 2025,Factura,9210,22936,Febrero 14 2025,-9,843226.34,4295802.81
Enero 17 2025,Factura,9249,23275,Febrero 16 2025,-11,864030.92,5159833.73
Enero 20 2025,Factura,9271,23283,Febrero 19 2025,-14,933885.80,6093719.53
Enero 22 2025,Factura,9322,23282,Febrero 21 2025,-16,896155.65,6989875.18
Enero 27 2025,Factura,9371,22954,Febrero 26 2025,-21,892578.02,7882453.20
Enero 28 2025,Factura,9403,22956,Febrero 27 2025,-22,826716.22,8709169.42
Febrero 03 2025,Factura,9511,23429,Marzo 05 2025,-28,859657.62,9568827.04
Febrero 04 2025,Factura,9559,22915,Marzo 06 2025,-29,851520.14,10420347.18
