Fecha Factura,Descripcion,Factura,PO,Fecha Vencimiento,Dias Vencidos,Total,Balance,Balance Vencido
Enero 23 2025,Factura,9346,23321,Febrero 22 2025,-17,893215.09,893215.09
Enero 31 2025,Pago,,,,,(623000.00),270215.09
Enero 27 2025,Factura,9372,22948,Febrero 26 2025,-21,879912.61,1150127.70
Febrero 04 2025,Pago,,,,,(270215.09),879912.61
Enero 28 2025,Factura,9404,23442,Febrero 27 2025,-22,808151.03,1688063.64
Enero 28 2025,Factura,9420,23072,Febrero 27 2025,-22,12858.82,1700922.46
Enero 28 2025,Factura,9400,23443,Febrero 27 2025,-22,819301.91,2520224.37
Enero 29 2025,Factura,9426,22308,Febrero 28 2025,-23,813579.33,3333803.70
Enero 30 2025,Factura,9444,23446,Marzo 01 2025,-24,838003.76,4171807.46
Febrero 03 2025,Factura,9515,23431,Marzo 05 2025,-28,877582.12,5049389.58
Febrero 04 2025,Factura,9544,23493,Marzo 06 2025,-29,878779.39,5928168.97
Febrero 05 2025,Factura,9571,23495,Marzo 07 2025,-30,808020.05,6736189.02
Febrero 05 2025,Factura,9578,23573,Marzo 07 2025,-30,807644.34,7543833.36
