Fecha Factura,Descripcion,Factura,PO,Fecha Vencimiento,Dias Vencidos,Total,Balance,Balance Vencido
Octubre 08 2024,Factura,7551,20247,Noviembre 07 2024,90,1638900.00,1638900.00,1638900.00
Enero 31 2025,Pago,,,,,(386847.72),1252052.28,1252052.28
Febrero 04 2025,Pago,,,,,(641651.68),610400.60,610400.60
Octubre 25 2024,Factura,7839,21544,Noviembre 24 2024,73,619611.17,1230011.77,1230011.77
Octubre 28 2024,Factura,7889,21903,Noviembre 27 2024,70,450284.86,1680296.63,1680296.63
Noviembre 19 2024,Factura,8195,21618,Diciembre 19 2024,48,791048.58,2471345.21,2471345.21
Noviembre 30 2024,Factura,8402,22586,Diciembre 30 2024,37,465166.58,2936511.79,2936511.79
Diciembre 17 2024,Factura,8763,22345,Enero 16 2025,20,459854.62,3396366.41,3396366.41
Enero 24 2025,Factura,9348,23072,Febrero 23 2025,-18,65430.41,3461796.82
Febrero 04 2025,Factura,9563,21074,Marzo 06 2025,-29,854550.00,4316346.82
