Fecha Factura,Descripcion,Factura,PO,Fecha Vencimiento,Dias Vencidos,Total,Balance,Balance Vencido
Octubre 07 2024,Factura,7540,21642,Noviembre 06 2024,91,860053.98,860053.98,860053.98
Noviembre 20 2024,Pago,,,,,(850480.22),9573.76,9573.76
Diciembre 13 2024,Factura,8714,21872,Enero 12 2025,24,1204017.50,1213591.26,1213591.26
Diciembre 16 2024,Factura,8733,20502,Enero 15 2025,21,1188000.00,2401591.26,2401591.26
Diciembre 16 2024,Nota Credito,,,,,(748000.00),1653591.26,1653591.26
Diciembre 19 2024,Factura,8820,22154,Enero 18 2025,18,1267782.36,2921373.62,2921373.62
Diciembre 23 2024,Factura,8858,22810,Enero 22 2025,14,1111186.84,4032560.46,4032560.46
Diciembre 23 2024,Factura,8859,22756,Enero 22 2025,14,1078080.18,5110640.64,5110640.64
Diciembre 26 2024,Factura,8909,22812,Enero 25 2025,11,1049515.69,6160156.33,6160156.33
Diciembre 26 2024,Nota Credito,,,,,(2402.24),6157754.09,6157754.09
Diciembre 30 2024,Factura,8962,22896,Enero 29 2025,7,1422570.98,7580325.07,7580325.07
Enero 09 2025,Factura,9120,23119,Febrero 08 2025,-3,843875.53,8424200.60
Enero 09 2025,Factura,9119,23115,Febrero 08 2025,-3,853056.34,9277256.94
Febrero 05 2025,Factura,9572,23576,Marzo 07 2025,-30,787366.19,10064623.13
