Fecha Factura,Descripcion,Factura,PO,Fecha Vencimiento,Dias Vencidos,Total,Balance,Balance Vencido
12 junio 2024,Factura,5446,19656,12 junio 2024,243,812384.10,812384.10,812384.10
24 junio 2024,Pago,,,,,(80000.00),732384.10,732384.10
28 junio 2024,Pago,,,,,(80000.00),652384.10,652384.10
02 julio 2024,Pago,,,,,(130000.00),522384.10,522384.10
12 julio 2024,Pago,,,,,(100000.00),422384.10,422384.10
22 julio 2024,Pago,,,,,(50000.00),372384.10,372384.10
08 agosto 2024,Pago,,,,,(25000.00),347384.10,347384.10
23 agosto 2024,Pago,,,,,(13000.00),334384.10,334384.10
11 septiembre 2024,Pago,,,,,(10500.00),323884.10,323884.10
23 septiembre 2024,Pago,,,,,(10000.00),313884.10,313884.10
28 octubre 2024,Pago,,,,,(10000.00),303884.10,303884.10
05 noviembre 2024,Pago,,,,,(10000.00),293884.10,293884.10
14 noviembre 2024,Pago,,,,,(10000.00),283884.10,283884.10
13 diciembre 2024,Pago,,,,,(10000.00),273884.10,273884.10
06 enero 2025,Pago,,,,,(40000.00),233884.10,233884.10
16 enero 2025,Pago,,,,,(5000.00),228884.10,228884.10
27 enero 2025,Pago,,,,,(5000.00),223884.10,223884.10
04 febrero 2025,Pago,,,,,(5000.00),218884.10,218884.10
