Fecha Factura,Descripcion,Factura,PO,Fecha Vencimiento,Dias Vencidos,Total,Balance,Balance Vencido
16 abril 2024,Factura,4444,18431,16 abril 2024,300,817086.99,817086.99,817086.99
02 mayo 2024,Pago,,,,,(100000.00),717086.99,717086.99
06 mayo 2024,Pago,,,,,(45000.00),672086.99,672086.99
13 mayo 2024,Pago,,,,,(30000.00),642086.99,642086.99
20 mayo 2024,Pago,,,,,(30000.00),612086.99,612086.99
27 mayo 2024,Pago,,,,,(30000.00),582086.99,582086.99
03 julio 2024,Pago,,,,,(70000.00),512086.99,512086.99
15 julio 2024,Pago,,,,,(60000.00),452086.99,452086.99
30 julio 2024,Pago,,,,,(40000.00),412086.99,412086.99
08 agosto 2024,Pago,,,,,(15000.00),397086.99,397086.99
23 agosto 2024,Pago,,,,,(14000.00),383086.99,383086.99
11 septiembre 2024,Pago,,,,,(12000.00),371086.99,371086.99
23 septiembre 2024,Pago,,,,,(10000.00),361086.99,361086.99
28 octubre 2024,Pago,,,,,(10500.00),350586.99,350586.99
05 noviembre 2024,Pago,,,,,(10000.00),340586.99,340586.99
14 noviembre 2024,Pago,,,,,(5000.00),335586.99,335586.99
13 diciembre 2024,Pago,,,,,(5000.00),330586.99,330586.99
06 enero 2025,Pago,,,,,(6000.00),324586.99,324586.99
16 enero 2025,Pago,,,,,(5000.00),319586.99,319586.99
27 enero 2025,Pago,,,,,(5000.00),314586.99,314586.99
04 febrero 2025,Pago,,,,,(5000.00),309586.99,309586.99
