Fecha Factura,Descripcion,Factura,PO,Fecha Vencimiento,Dias Vencidos,Total,Balance,Balance Vencido
17 julio 2024,Factura,6177,20284,16 agosto 2024,178,992795.02,992795.02,992795.02
25 noviembre 2024,Pago,,,,,(230936.04),761858.98,761858.98
27 noviembre 2024,Pago,,,,,(274750.00),487108.98,487108.98
27 noviembre 2024,Pago,,,,,(50000.00),437108.98,437108.98
26 julio 2024,Factura,6390,19840,25 agosto 2024,169,745852.35,1182961.33,1182961.33
06 agosto 2024,Factura,6609,20719,05 septiembre 2024,158,669641.22,1852602.55,1852602.55
21 agosto 2024,Factura,6823,20830,20 septiembre 2024,143,697693.66,2550296.21,2550296.21
27 agosto 2024,Factura,6950,21087,26 septiembre 2024,137,943087.27,3493383.48,3493383.48
05 septiembre 2024,Factura,7093,21125,05 octubre 2024,128,972318.70,4465702.18,4465702.18
20 septiembre 2024,Factura,7301,21419,20 octubre 2024,113,756563.53,5222265.71,5222265.71
09 octubre 2024,Factura,7575,21644,08 noviembre 2024,94,537769.17,5760034.88,5760034.88
24 octubre 2024,Factura,7824,21482,23 noviembre 2024,79,619410.77,6379445.65,6379445.65
