Fecha Factura,Descripcion,Factura,PO,Fecha Vencimiento,Dias Vencidos,Total,Balance,Balance Vencido
20 diciembre 2024,Factura,8832,22684,19 enero 2025,22,1222958.17,1222958.17,1222958.17
29 enero 2025,Pago,,,,,(1134624.74),88333.43,88333.43
23 diciembre 2024,Factura,8871,22866,22 enero 2025,19,1201862.01,1290195.44,1290195.44
30 diciembre 2024,Factura,8953,22841,29 enero 2025,12,1160850.58,2451046.02,2451046.02
07 enero 2025,Factura,9071,22276,06 febrero 2025,4,956905.79,3407951.81,3407951.81
09 enero 2025,Factura,9125,23156,08 febrero 2025,2,1132089.17,4540040.98,4540040.98
16 enero 2025,Factura,9226,23233,15 febrero 2025,-5,827274.24,5367315.22
20 enero 2025,Factura,9264,23344,19 febrero 2025,-9,1080179.62,6447494.84
22 enero 2025,Factura,9308,23296,21 febrero 2025,-11,1110829.17,7558324.01
05 febrero 2025,Factura,9570,23582,07 marzo 2025,-25,1027894.40,8586218.41
10 febrero 2025,Factura,9633,23498,12 marzo 2025,-30,810272.84,9396491.25
